SAE Grade,Conditions,tensile strength,yield strength,Hardness (HB),C (Min),C (Max),Mn (Min),Mn (Max),P (Min),P (Max),S (Min),S(Max),Si (Min),Si (Max),Ni (Min),Ni (Max),Cr (Min),Cr (Max),Mo (Min),Mo (Max),Ti (Min),Ti (Max)
1006,Hot rolled,295,165,86,0,0.08,0.25,0.4,0,0.04,0,0.05,0,0,0,0,0,0,0,0,0,0
1006,Cold drawn,330,285,95,0,0.08,0.25,0.4,0,0.04,0,0.05,0,0,0,0,0,0,0,0,0,0
1008,Hot rolled,305,170,86,0,0.1,0.3,0.5,0,0.04,0,0.05,0,0,0,0,0,0,0,0,0,0
1008,Cold drawn,340,285,95,0,0.1,0.3,0.5,0,0.04,0,0.05,0,0,0,0,0,0,0,0,0,0
1010,Hot rolled,325,180,95,0.08,0.13,0.3,0.5,0,0.04,0,0.05,0,0,0,0,0,0,0,0,0,0
1010,Cold drawn,365,305,105,0.08,0.13,0.3,0.5,0,0.04,0,0.05,0,0,0,0,0,0,0,0,0,0
1012,Hot rolled,330,185,95,0.1,0.15,0.3,0.6,0,0.04,0,0.05,0,0,0,0,0,0,0,0,0,0
1012,Cold drawn,370,310,105,0.1,0.15,0.3,0.6,0,0.04,0,0.05,0,0,0,0,0,0,0,0,0,0
1015,Hot rolled,345,190,101,0.13,0.18,0.3,0.6,0,0.04,0,0.05,0,0,0,0,0,0,0,0,0,0
1015,Cold drawn,385,325,111,0.13,0.18,0.3,0.6,0,0.04,0,0.05,0,0,0,0,0,0,0,0,0,0
1016,Hot rolled,380,205,110,0.13,0.18,0.6,0.9,0,0.04,0,0.05,0,0,0,0,0,0,0,0,0,0
1016,Cold drawn,420,350,121,0.13,0.18,0.6,0.9,0,0.04,0,0.05,0,0,0,0,0,0,0,0,0,0
1017,Hot rolled,365,200,105,0.15,0.2,0.3,0.6,0,0.04,0,0.05,0,0,0,0,0,0,0,0,0,0
1017,Cold drawn,405,340,116,0.15,0.2,0.3,0.6,0,0.04,0,0.05,0,0,0,0,0,0,0,0,0,0
1018,Hot rolled,400,220,116,0.15,0.2,0.6,0.9,0,0.04,0,0.05,0,0,0,0,0,0,0,0,0,0
1018,Cold drawn,440,370,126,0.15,0.2,0.6,0.9,0,0.04,0,0.05,0,0,0,0,0,0,0,0,0,0
1019,Hot rolled,405,225,116,0.15,0.2,0.7,1,0,0.04,0,0.05,0,0,0,0,0,0,0,0,0,0
1019,Cold drawn,455,380,131,0.15,0.2,0.7,1,0,0.04,0,0.05,0,0,0,0,0,0,0,0,0,0
1020,Hot rolled,380,205,111,0.18,0.23,0.3,0.6,0,0.04,0,0.05,0,0,0,0,0,0,0,0,0,0
1020,Cold drawn,420,350,121,0.18,0.23,0.3,0.6,0,0.04,0,0.05,0,0,0,0,0,0,0,0,0,0
1021,Hot rolled,420,230,116,0.18,0.23,0.6,0.9,0,0.04,0,0.05,0,0,0,0,0,0,0,0,0,0
1021,Cold drawn,470,395,131,0.18,0.23,0.6,0.9,0,0.04,0,0.05,0,0,0,0,0,0,0,0,0,0
1022,Hot rolled,425,235,121,0.18,0.23,0.7,1,0,0.04,0,0.05,0,0,0,0,0,0,0,0,0,0
1022,Cold drawn,475,400,137,0.18,0.23,0.7,1,0,0.04,0,0.05,0,0,0,0,0,0,0,0,0,0
1023,Hot rolled,385,215,111,0.2,0.25,0.3,0.6,0,0.04,0,0.05,0,0,0,0,0,0,0,0,0,0
1023,Cold drawn,425,360,121,0.2,0.25,0.3,0.6,0,0.04,0,0.05,0,0,0,0,0,0,0,0,0,0
1025,Hot rolled,400,220,116,0.22,0.28,0.3,0.6,0,0.04,0,0.05,0,0,0,0,0,0,0,0,0,0
1025,Cold drawn,440,370,126,0.22,0.28,0.3,0.6,0,0.04,0,0.05,0,0,0,0,0,0,0,0,0,0
1026,Hot rolled,440,240,126,0.22,0.28,0.6,0.9,0,0.04,0,0.05,0,0,0,0,0,0,0,0,0,0
1026,Cold drawn,490,415,143,0.22,0.28,0.6,0.9,0,0.04,0,0.05,0,0,0,0,0,0,0,0,0,0
1030,Hot rolled,500,300,145,0.28,0.34,0.6,0.9,0,0.04,0,0.05,0,0,0,0,0,0,0,0,0,0
1030,Cold drawn,525,440,149,0.28,0.34,0.6,0.9,0,0.04,0,0.05,0,0,0,0,0,0,0,0,0,0
1035,Hot rolled,495,270,143,0.32,0.38,0.6,0.9,0,0.04,0,0.05,0,0,0,0,0,0,0,0,0,0
1035,Cold drawn,550,460,163,0.32,0.38,0.6,0.9,0,0.04,0,0.05,0,0,0,0,0,0,0,0,0,0
1037,Hot rolled,510,280,143,0.32,0.38,0.7,1,0,0.04,0,0.05,0,0,0,0,0,0,0,0,0,0
1037,Cold drawn,565,475,167,0.32,0.38,0.7,1,0,0.04,0,0.05,0,0,0,0,0,0,0,0,0,0
1038,Hot rolled,515,285,149,0.35,0.42,0.6,0.9,0,0.04,0,0.05,0,0,0,0,0,0,0,0,0,0
1038,Cold drawn,570,485,163,0.35,0.42,0.6,0.9,0,0.04,0,0.05,0,0,0,0,0,0,0,0,0,0
1039,Hot rolled,545,300,156,0.37,0.44,0.7,1,0,0.04,0,0.05,0,0,0,0,0,0,0,0,0,0
1039,Cold drawn,605,510,179,0.37,0.44,0.7,1,0,0.04,0,0.05,0,0,0,0,0,0,0,0,0,0
1040,Hot rolled,525,290,149,0.37,0.44,0.6,0.9,0,0.04,0,0.05,0,0,0,0,0,0,0,0,0,0
1040,Cold drawn,585,490,170,0.37,0.44,0.6,0.9,0,0.04,0,0.05,0,0,0,0,0,0,0,0,0,0
1042,Hot rolled,550,305,163,0.4,0.47,0.6,0.9,0,0.04,0,0.05,0,0,0,0,0,0,0,0,0,0
1042,Cold drawn,615,515,179,0.4,0.47,0.6,0.9,0,0.04,0,0.05,0,0,0,0,0,0,0,0,0,0
1043,Hot rolled,565,310,163,0.4,0.47,0.7,1,0,0.04,0,0.05,0,0,0,0,0,0,0,0,0,0
